City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Havoysund,NO,2022-11-12 20:56:17,70.9963,24.6622,39.43,70,100,9.95
229,Chanthaburi,TH,2022-11-12 20:57:17,12.8333,102.1667,69.53,87,80,2.77
230,Kattivakkam,IN,2022-11-12 20:57:18,13.2167,80.3167,80.69,86,100,4.34
231,Baghdad,IQ,2022-11-12 20:57:18,33.3406,44.4009,64.31,100,0,2.3
232,Pisco,PE,2022-11-12 20:52:26,-13.7,-76.2167,69.85,68,0,13.8
233,Carauari,BR,2022-11-12 20:57:19,-4.8828,-66.8958,84.79,69,99,2.37
234,Codrington,AU,2022-11-12 20:57:20,-38.2667,141.9667,57.74,95,64,4.79
235,Kompaniyivka,UA,2022-11-12 20:57:20,48.2511,32.208,45.3,76,6,11.77
236,Nemuro,JP,2022-11-12 20:57:20,43.3236,145.575,56.01,94,100,22.28
237,Anderson,US,2022-11-12 20:56:04,34.5334,-82.6499,67.44,83,85,3.0
238,Poum,NC,2022-11-12 20:57:21,-20.2333,164.0167,76.33,81,43,15.14
239,Road Town,VG,2022-11-12 20:54:01,18.4167,-64.6167,84.24,79,40,3.44
240,Fukue,JP,2022-11-12 20:57:22,32.6881,128.8419,68.54,94,99,4.43
241,Cruz Alta,BR,2022-11-12 20:57:22,-28.6386,-53.6064,78.51,62,100,8.25
242,Payakumbuh,ID,2022-11-12 20:57:23,-0.2202,100.6308,69.87,97,100,2.13
243,Thunder Bay,CA,2022-11-12 20:54:10,48.4001,-89.3168,26.58,68,100,12.66
244,Zhigansk,RU,2022-11-12 20:57:23,66.7697,123.3711,4.93,97,100,4.81
245,Santa Maria,BR,2022-11-12 20:57:24,-29.6842,-53.8069,83.5,58,40,3.44
246,Kutum,SD,2022-11-12 20:52:34,14.2,24.6667,67.28,28,1,13.06
247,Cherskiy,RU,2022-11-12 20:57:25,68.75,161.3,-10.12,96,100,8.3
248,Esperance,AU,2022-11-12 20:57:25,-33.8667,121.9,57.11,75,80,17.52
249,Upernavik,GL,2022-11-12 20:57:25,72.7868,-56.1549,11.8,85,37,12.53
250,Dunedin,NZ,2022-11-12 20:57:26,-45.8742,170.5036,62.8,65,99,3.0
251,Tres Arroyos,AR,2022-11-12 20:57:26,-38.3739,-60.2798,59.25,96,100,9.62
252,Ribeira Grande,PT,2022-11-12 20:55:11,38.5167,-28.7,61.2,63,40,14.97
253,Cabo Rojo,PR,2022-11-12 20:57:27,18.0866,-67.1457,79.52,82,20,2.95
254,Husavik,IS,2022-11-12 20:57:27,66.0449,-17.3389,36.81,79,85,8.28
255,Qaqortoq,GL,2022-11-12 20:57:28,60.7167,-46.0333,23.7,76,97,6.49
256,Geraldton,AU,2022-11-12 20:57:28,-28.7667,114.6,46.81,87,0,8.05
257,Albufeira,PT,2022-11-12 20:57:28,37.0882,-8.2503,65.01,90,5,2.55
258,Abu Dhabi,AE,2022-11-12 20:57:29,24.4667,54.3667,82.42,81,0,4.61
259,Isangel,VU,2022-11-12 20:52:47,-19.55,169.2667,73.51,88,100,6.91
260,Kirakira,SB,2022-11-12 20:57:29,-10.4544,161.9205,81.19,79,72,4.81
261,Cayenne,GF,2022-11-12 20:57:30,4.9333,-52.3333,78.84,89,75,3.44
262,Broome,US,2022-11-12 20:57:30,42.2506,-75.833,56.7,72,38,1.01
263,Moline,US,2022-11-12 20:57:31,41.5067,-90.5151,32.58,77,100,8.01
264,Rawah,IQ,2022-11-12 20:57:31,34.4816,41.9093,65.66,41,0,7.43
265,Astaneh-Ye Ashrafiyeh,IR,2022-11-12 20:57:32,37.2596,49.9444,55.33,86,92,4.16
