City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
494,Alyangula,AU,84.49,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
495,Santiago Del Estero,AR,82.87,heavy intensity rain,-27.7951,-64.2615,Apartamentos Castelli 90
497,Luganville,VU,82.22,light rain,-15.5333,167.1667,The Espiritu Hotel
498,Bartica,GY,75.52,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
501,Abancay,PE,77.67,scattered clouds,-13.6339,-72.8814,Siball Hotel
502,Tabuk,PH,72.99,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
505,Mana,GF,78.6,heavy intensity rain,5.6592,-53.7767,LE SAMANA
509,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
510,Pangkalanbuun,ID,73.63,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
512,Sola,VU,79.54,overcast clouds,-13.8833,167.55,Leumerus Bungalows
513,Lagunas,PE,87.17,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
516,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
517,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
523,Chon Daen,TH,72.05,scattered clouds,16.1895,100.8596,ซับขลุง
525,Eyl,SO,78.55,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
526,Mandera,KE,82.92,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
527,Podor,MR,84.15,clear sky,16.6527,-14.9587,Auberge Du Tékrour
530,Isangel,VU,78.78,light rain,-19.55,169.2667,Tanna Lodge
531,Les Cayes,HT,81.18,broken clouds,18.2,-73.75,Villa Orphee
532,Los Rastrojos,VE,75.6,light rain,10.0259,-69.2417,MakeupAngells
533,Mumford,GH,79.03,scattered clouds,5.2618,-0.759,Peace Guest House
536,Touho,NC,76.87,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
537,Banda Aceh,ID,76.28,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
540,Daru,PG,82.83,overcast clouds,-9.0763,143.2092,Daru Lodge
542,Galle,LK,77.74,overcast clouds,6.0367,80.217,Amangalla
544,Port Said,EG,71.58,clear sky,31.2565,32.2841,Aracan Hotel
548,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
552,Alcantara,BR,82.6,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
553,Puri,IN,71.8,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
555,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
556,Sao Domingos,BR,70.86,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
558,Mayo,US,70.5,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
560,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
561,Nortelandia,BR,73.38,overcast clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
562,Bucerias,MX,81.99,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
563,Grand-Santi,GF,75.22,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
568,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
575,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
578,Ulundi,ZA,70.18,overcast clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
585,Biu,NG,71.78,clear sky,10.6129,12.1946,Emir's Palace
587,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
588,Kirakira,SB,82.36,broken clouds,-10.4544,161.9205,SanBiz Lodge
589,Banfora,BF,80.02,broken clouds,10.6333,-4.7667,Residences David Hebié
590,Menongue,AO,70.29,overcast clouds,-14.6585,17.691,Ritz Lauca
591,Boyuibe,BO,75.6,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
601,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
602,Mogadishu,SO,77.94,overcast clouds,2.0371,45.3438,Hotel Juba
605,Khorramshahr,IR,73.78,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
606,Palora,EC,73.65,light rain,-1.7,-77.9333,Rancho grande
607,Maria Aurora,PH,73.99,scattered clouds,15.7967,121.4737,Attic Travellers Inn
609,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
610,Ransang,PH,78.78,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
612,Dawei,MM,73.42,overcast clouds,14.0833,98.2,Hotel Dawei
624,Inhambane,MZ,77.22,few clouds,-23.865,35.3833,Oceano
625,Canutama,BR,82.87,broken clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
629,Jaguarari,BR,73.87,few clouds,-10.2639,-40.1958,Hotel Quintal De Casa
634,Itarema,BR,79.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
636,Sal Rei,CV,76.03,clear sky,16.1833,-22.9167,Marine Club Beach Resort
639,Bull Savanna,JM,78.3,light rain,17.8868,-77.5902,Big Red's
642,Le Vauclin,MQ,82.45,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
643,San Pedro De Uraba,CO,78.4,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
644,Saint-Joseph,RE,70.18,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
653,Vao,NC,73.02,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
655,Vaitape,PF,76.91,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
662,Olinda,BR,74.93,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
663,La Presa,US,73.27,clear sky,32.7081,-116.9973,Terrace Mobile Home Estates
670,Mersing,MY,75.96,overcast clouds,2.4312,103.8405,Timotel Hotel
671,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
674,Mahibadhoo,MV,80.74,overcast clouds,3.7833,72.9667,Omadhoo Inn
675,Tevaitoa,PF,77.29,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
680,Road Town,VG,81.03,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
685,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,Lamu House
688,Catuday,PH,79.18,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
690,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
691,Alta Floresta,BR,81.41,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
698,Jeremie,HT,81.18,scattered clouds,18.65,-74.1167,Auberge’Inn
699,Majene,ID,77.58,light rain,-3.5403,118.9707,Kost Putri RABBANI
