City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Fortuna,US,40.5982,-124.1573,53.94,88,100,14.97,overcast clouds
179,New Norfolk,AU,-42.7826,147.0587,53.92,63,100,3.29,light rain
180,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,40,6.91,scattered clouds
181,Pangody,RU,65.85,74.4859,-8.82,94,59,10.96,broken clouds
182,Cabo San Lucas,MX,22.8909,-109.9124,83.61,60,9,8.12,clear sky
183,Ambulu,ID,-8.345,113.6058,75.87,91,100,2.42,overcast clouds
184,Carnarvon,AU,-24.8667,113.6333,62.29,55,0,20.42,clear sky
185,Upernavik,GL,72.7868,-56.1549,11.3,85,36,12.03,scattered clouds
186,Jacksonville,US,30.3322,-81.6556,82.65,58,40,11.5,scattered clouds
187,Libenge,CD,3.65,18.6333,71.62,94,100,1.97,overcast clouds
188,Port Hedland,AU,-20.3167,118.5667,66.25,88,0,0.0,clear sky
189,Brae,GB,60.3964,-1.353,53.33,96,100,9.98,overcast clouds
190,Fallon,US,39.4735,-118.7774,44.47,36,75,8.05,broken clouds
191,Roald,NO,62.5833,6.1333,53.76,93,40,4.61,scattered clouds
192,Kangaatsiaq,GL,68.3065,-53.4641,11.41,93,73,8.3,broken clouds
193,Bonthe,SL,7.5264,-12.505,78.96,81,10,4.83,clear sky
194,Aksu,CN,41.1231,80.2644,36.84,49,0,1.74,clear sky
195,Hilo,US,19.7297,-155.09,80.26,81,100,9.22,overcast clouds
196,Sioux Lookout,CA,50.1001,-91.917,21.27,79,100,8.05,overcast clouds
197,Norden,DE,53.6,7.2,41.95,71,96,6.58,overcast clouds
198,La Llanada,CO,1.49,-77.5835,56.17,94,99,3.67,moderate rain
199,Kuah,MY,6.3265,99.8432,80.58,83,20,1.14,few clouds
200,Mao,ES,39.8885,4.2658,61.36,88,0,6.91,clear sky
201,Vanderhoof,CA,54.0166,-124.0198,31.06,85,100,1.48,overcast clouds
